time,id,parent,label,cellType,divideFlag,cellAge,growthRate,LifeHistory,startVol,targetVol,pos,radius,length,dir,ends0,ends1,strainRate,strainRate_rolling
89.0,756.0,636.0,1.0,1.0,0.0,4.0,0.094,4.0,3.6842234571496935,5.370700002654649,13.797548620042534,0.42234894102988696,5.370700002654649,-2.0408001278157046,9.875844308925053,18.46351082724456,0.11660427903811424,0.10082869818592924
89.0,755.0,705.0,1.0,1.0,0.0,4.0,0.04,4.0,3.8539824723392853,4.524983311708515,14.501113416036734,0.39722596839283403,4.524983311708515,-2.018431851807715,10.74683956634361,18.601638849501235,0.08305772224257417,0.04157775333237469
89.0,1059.0,936.0,1.0,1.0,0.0,1.0,0.0,1.0,5.621168121198642,5.621168121198642,52.04634157655599,0.44578181684081447,5.621168121198642,-2.686547632914903,46.611488638838836,57.517019498336644,0.0,0.0
89.0,1060.0,936.0,1.0,1.0,0.0,1.0,0.0,1.0,7.368625552529221,7.368625552529221,52.367422976119066,0.5074020905024467,7.368625552529221,-2.5726462150896605,45.62567831280817,59.25862588587796,0.0,0.0
89.0,1061.0,938.0,1.0,1.0,0.0,1.0,0.0,1.0,4.2661397472854725,4.2661397472854725,43.670140341281254,0.48361522448922034,4.2661397472854725,-0.26679386638118957,47.429552855601926,40.0124946417841,0.0,0.0
89.0,707.0,664.0,1.0,1.0,0.0,5.0,0.087,5.0,5.078807975436443,7.834832169931128,49.17053801956198,0.4696536964662546,7.834832169931128,-2.8583780551874516,41.34948801181431,56.995373932356834,0.49289266734626225,0.10760676385459104
89.0,1062.0,938.0,1.0,1.0,0.0,1.0,0.0,1.0,4.1688833373981735,4.1688833373981735,40.07228264705001,0.4743538667584415,4.1688833373981735,-0.24200785874863698,43.72093214064364,36.535119301913284,0.0,0.0
89.0,940.0,706.0,1.0,1.0,0.0,2.0,0.019,2.0,4.136769918256325,4.295956395141984,44.6304514072822,0.4293744189498947,4.295956395141984,-0.2921749375240308,48.3157211030707,41.06404708042993,0.03848086309638345,0.019240431548191723
89.0,941.0,663.0,1.0,1.0,0.0,2.0,0.036,2.0,5.877095147160598,6.310109193172015,57.280972901303116,0.49974254882900426,6.310109193172015,-0.13145031758874218,63.247492639283905,51.39658883566963,0.0736782432764627,0.03683912163823135
89.0,942.0,829.0,1.0,1.0,0.0,2.0,0.032,2.0,3.8886084891062276,4.148666739504473,18.064457738528162,0.3891580334857175,4.148666739504473,-1.6448060874281567,15.238893063308183,21.32717225536801,0.06687694354594652,0.03343847177297326
89.0,937.0,714.0,1.0,1.0,0.0,2.0,0.036,2.0,4.278491718952042,4.600450482854529,20.740505914978712,0.4165808572026765,4.600450482854529,-2.4063229661737373,16.18290172006162,25.313615949282188,0.07525052870298575,0.037625264351492875
89.0,1063.0,831.0,1.0,1.0,0.0,1.0,0.0,1.0,4.9129690130084915,4.9129690130084915,40.57039689319185,0.3950093478136248,4.9129690130084915,-0.10021950181382601,45.102161902195704,36.13839687833305,0.0,0.0
89.0,1064.0,709.0,1.0,1.0,0.0,1.0,0.0,1.0,4.568923482198925,4.568923482198925,49.14231046653458,0.5122615428449201,4.568923482198925,-2.02224945866814,46.21882553900893,52.30204245864192,0.0,0.0
89.0,939.0,829.0,1.0,1.0,0.0,2.0,0.033,2.0,3.7780820174779497,4.036620999379454,16.98788406385867,0.34654654653311784,4.036620999379454,-1.6193923465046298,14.196906404601396,20.204278672064905,0.06843127827968419,0.034215639139842095
89.0,1220.0,714.0,1.0,1.0,0.0,2.0,0.09,2.0,6.404835629391449,7.661846140731448,18.63542111747802,0.4876561386501156,7.661846140731448,-1.5620349419887416,15.091932274042048,24.170212933602848,0.19625960509769302,0.09812980254884651
89.0,594.0,543.0,1.0,1.0,0.0,8.0,0.076,8.0,4.01108407784844,7.360029779674199,51.62644355749917,0.5720919611262141,7.360029779674199,-1.3257972247582879,51.70297855374528,52.59012677468684,0.0671379424532619,0.09354970532960606
89.0,1065.0,832.0,1.0,1.0,0.0,1.0,0.0,1.0,4.098009032235702,4.098009032235702,44.63431317583368,0.5129736243986143,4.098009032235702,-2.9849066912464637,40.59153264708903,48.68632928013443,0.0,0.0
89.0,1066.0,708.0,1.0,1.0,0.0,1.0,0.0,5.0,3.7490385928129473,3.7490385928129473,47.45877304031188,0.4761008878873405,3.7490385928129473,-2.4003607723670255,44.111750747542374,50.86191407832745,0.0,0.0
89.0,1067.0,831.0,1.0,1.0,0.0,1.0,0.0,1.0,2.989632638832775,2.989632638832775,39.402093852992124,0.32651519291825337,2.989632638832775,-3.078557116289843,36.555577177753776,42.26837569426622,0.0,0.0
89.0,1068.0,832.0,1.0,1.0,0.0,1.0,0.0,1.0,2.9031976838356455,2.9031976838356455,42.23711024537348,0.40324659873887553,2.9031976838356455,-2.746240285652701,39.337646099085106,45.137054364741815,0.0,0.0
89.0,1069.0,944.0,1.0,1.0,0.0,1.0,0.0,1.0,3.6689753949458472,3.6689753949458472,57.96762322242488,0.4582258212342694,3.6689753949458472,-0.6596851787798603,60.27489259282226,55.806368524884334,0.0,0.0
89.0,665.0,587.0,1.0,1.0,0.0,6.0,0.07,6.0,4.0837302564932285,6.217198932700277,54.94749455724076,0.5074101226645819,6.217198932700277,-0.18705680743650469,60.6131306257855,49.41467228582022,0.06890691473307373,0.08835798839844158
89.0,1070.0,711.0,1.0,1.0,0.0,1.0,0.0,1.0,3.5173282468908327,3.5173282468908327,39.525848606241524,0.39183625858011295,3.5173282468908327,-0.0029626537111391207,42.793065339803086,36.30540140121227,0.0,0.0
